moment,network_hash,difficulty
'2010-05-11 11:00:00',0.00009038037165375662,13
'2010-05-12 11:00:00',0.00008807239484952382,13
'2010-05-13 11:00:00',0.00008714920412783069,13
'2010-05-14 11:00:00',0.00008521050361227512,13
'2010-05-15 11:00:00',0.00008437963196275132,13
'2010-05-16 11:00:00',0.00007856353041608466,13
'2010-05-17 11:00:00',0.0000757939582510053,13
'2010-05-18 11:00:00',0.00007717874433354498,13
'2010-05-19 11:00:00',0.00008244093144719577,13
'2010-05-20 11:00:00',0.00008469209651470901,12
'2010-05-21 11:00:00',0.00009017442910814815,12
'2010-05-22 11:00:00',0.00009381748172529102,12
'2010-05-23 11:00:00',0.00010203387914835979,12
'2010-05-24 11:00:00',0.00010958273866497356,12
'2010-05-25 11:00:00',0.00011240202109968256,12
'2010-05-26 11:00:00',0.00011478811404190478,12
'2010-05-27 11:00:00',0.00011981595274158731,12
'2010-05-28 11:00:00',0.00011887855908571428,12
'2010-05-29 11:00:00',0.00012288378652444446,12
'2010-05-30 11:00:00',0.00012847974259132274,17
'2010-05-31 11:00:00',0.0001284868440584127,17
'2010-06-01 11:00:00',0.00012960887585862437,17
'2010-06-02 11:00:00',0.00012801104576338625,17
'2010-06-03 11:00:00',0.0001267540860884656,17
'2010-06-04 11:00:00',0.0001287424968736508,17
'2010-06-05 11:00:00',0.00012482958850708995,17
'2010-06-06 11:00:00',0.00012012131582645503,17
'2010-06-07 11:00:00',0.00012000059088592594,17
'2010-06-08 11:00:00',0.00012181146499386243,17
'2010-06-09 11:00:00',0.00012482958850708995,17
'2010-06-10 11:00:00',0.00012736481225820108,17
'2010-06-11 11:00:00',0.0001283306117824339,17
'2010-06-12 11:00:00',0.0001335217842251852,17
'2010-06-13 11:00:00',0.0001323145348198942,17
'2010-06-14 11:00:00',0.00013521193339259262,17
'2010-06-15 11:00:00',0.00013569483315470902,17
'2010-06-16 11:00:00',0.0001385922317274074,17
'2010-06-17 11:00:00',0.0001354533832736508,17
'2010-06-18 11:00:00',0.0001337632341062434,17
'2010-06-19 11:00:00',0.0001315901851767196,17
'2010-06-20 11:00:00',0.0001334010592846561,17
'2010-06-21 11:00:00',0.00013497048351153443,17
'2010-06-22 11:00:00',0.0001341254089278307,17
'2010-06-23 11:00:00',0.00013074511059301587,17
'2010-06-24 11:00:00',0.0001361777329168254,17
'2010-06-25 11:00:00',0.00014135470242539685,19
